airline_sentiment,text
neutral,pbpinftworth iphone gb plus
negative,order always hour flight delayed hour worse ever forget meal
positive,thanks much
neutral,robertdwyer aa doesnt charge fee change award ticket long origin destination amp award type remain
negative,need flight tonight isnt anything else
positive,thank confirmation
negative,spent choppy feed whiplash ever americanairlinesfail iwantmymoneyback
neutral,ok call likely tmrw uk time question process get change charge reverse due bereavement
negative,please find bag singapore three day already without bag last known destination lax tag please help
negative,inconvenient convenient word
negative,response could make difference could make situation well trustget lose like bag
negative,delay way puerto rico delay way back new york disgraceful
negative,thats okyou may keep lose bag info longer trust bad way handle
negative,come want go home cant miss another day work stuckinmemphis texasisclosed
neutral,photo httptcovmquurzupw
negative,guy kill httptcoipgeicsm
positive,aww cool nice know still head one faves
neutral,whats status flight sju
negative,would love dm twitter app say youre follow cant
negative,wasnt offer perk usairways ask tell thenewamerican
negative,good care customer anything happen take delta get back nyc screw americanair
negative,cost dollar flight cancel flightled couldnt even give food comp fly jetblue delta take
negative,say dumb thing beat around bush youre flight cancel flightled prepare compassion
neutral,yes io im run io
negative,bad company ever please fly repeat please fly credit youre delay
negative,continue win ive never miss flight nice little quiet gate change make possible sheesh
positive,keep aa air crew chief cousin alex espinosa dfw httptcohxlnvzknp
negative,lose cat miss flight keep crate hr wouldbe hr trip youll never touch pet
negative,dont worry wont steal money
negative,continually get put hold painfully inexperienced people call platinum desk
negative,pretty lame response two page single spaced letter httptcoaceboelpa
negative,happen u mattersits response matter way drop ball aa
negative,look help usairways award travel book wife two boy seat assign
positive,clarkey do truck biggie smilingfacewithopenmouthsmilingeyes
negative,itunesmusic put bad mood havent angry since spagnuolo coach ram
negative,cancel flight flight leave help find hotel stay sleep airport night
negative,flight vega dfw cancel flightled sunday monday whammie today
positive,airport snow removal method keep good work folk cessnas become httptcooumclrxdn
neutral,bird could fly south america example argentina
negative,flight jacksonville fl dallas show cancel flightled go rebooked another flight
positive,great thanks
positive,awesome thanks
negative,flight dallas jacksonville fl cancel flightled one notify whats go
negative,extremely upset baggage handler decide go luggage take belonging
negative,flight delay hour gf meal despite early request attendant seat fell leg badservice
negative,always rely fly usair american employee rude unhappy
negative,robocalls another cancel flightation dont accept change wont let connect agent wow
negative,say aa provide inflight wifi route china base federal law unite
negative,right two hour late flight seem due poor communication sound like annoy onplane staff
negative,im sure happen usairways status merger take place
negative,u help rebook passenger via twitterdm hold hour thanks
negative,id like apologize gate agent flight aa aware zone nine precious gem
neutral,key point confusion whether make change even though initial flight book problem u airways metal
neutral,origindestinationdates go u airways connect flight aa direct flight award saver level
neutral,old fly ordpvg get upgraded
neutral,know little cold weather humor
negative,none lax flight dfw cancel flightled land fine completely arbitrary
negative,doesnt really answer question maybe provide detail give clarification
negative,delay bag friend lisa pafe get bag day costa rica issue update system
positive,thanks
positive,aww thanks aadfw gma amso understand btw aa airline im able trvlove guy
positive,awesome photo thanks share grinningfacewithsmilingeyes
positive,new plane gogo easy power laptop iphone miss good boatstyle swivel cup holder dietcoke happyflier
negative,rampers gate b dfw wait marshal
negative,cancel flight flight theres way rebook website app wait minute hold fail cc delta
neutral,think plane retire md
positive,phone americanair customer service minute get issue resole guy awesome
neutral,thanks info number call speak person go take hour type
